Course ID,Type,Identifier,Topic Name,Topic Link,Entity Type
40355,Slide,5,Concordia University,http://dbpedia.org/resource/Main_Page,ORG
40355,Slide,5,Steve Jobs,http://dbpedia.org/resource/Steve_Jobs,PERSON
40355,Slide,5,English,http://dbpedia.org/resource/English_language,NORP
40355,Slide,5,French,http://dbpedia.org/resource/French_language,LANGUAGE
40355,Slide,5,UIMA,http://dbpedia.org/resource/UIMA,ORG
40355,Slide,5,GATE,http://dbpedia.org/resource/General_Architecture_for_Text_Engineering,ORG
40355,Slide,5,Refinitiv,http://dbpedia.org/resource/Refinitiv,ORG
40355,Slide,5,Machine Learning,http://dbpedia.org/resource/Machine_learning,PERSON
40355,Slide,5,IBM,http://dbpedia.org/resource/IBM,ORG
40355,Slide,5,LOD,http://dbpedia.org/resource/Genetic_linkage,ORG
40355,Slide,5,RDF,http://dbpedia.org/resource/Resource_Description_Framework,ORG
40355,Slide,5,Mona Lisa,http://dbpedia.org/resource/Mona_Lisa,WORK_OF_ART
40355,Slide,5,DBpedia,http://dbpedia.org/resource/DBpedia,GPE
40355,Slide,5,Layer Cake,http://dbpedia.org/resource/Layer_cake,WORK_OF_ART
40355,Slide,5,FOAF,http://dbpedia.org/resource/FOAF_(ontology),ORG
40355,Slide,5,Dublin Core,http://dbpedia.org/resource/Dublin_Core,PERSON
40355,Slide,5,Deep Learning,http://dbpedia.org/resource/Deep_learning,PERSON
40355,Slide,5,Apple Siri,http://dbpedia.org/resource/Siri,PERSON
40355,Slide,5,Amazon Alexa,http://dbpedia.org/resource/Amazon_Alexa,ORG
40355,Slide,5,Microsoft Tay,http://dbpedia.org/resource/Tay_(bot),PERSON
40355,Slide,5,Microsoft,http://dbpedia.org/resource/Microsoft,ORG
40355,Slide,5,Gartner,http://dbpedia.org/resource/Gartner,ORG
40355,Slide,5,Perceptron,http://dbpedia.org/resource/Perceptron,ORG
40355,Slide,5,Keras,http://dbpedia.org/resource/Keras,ORG
40355,Slide,5,Word Vectors,http://dbpedia.org/resource/Word_embedding,ORG
40355,Slide,5,Japan,http://dbpedia.org/resource/Japan,GPE
40355,Slide,5,Sushi,http://dbpedia.org/resource/Sushi,GPE
40355,Slide,5,Germany,http://dbpedia.org/resource/Germany,GPE
40355,Slide,5,XOR,http://dbpedia.org/resource/Exclusive_or,ORG
40355,Slide,5,MIT Press,http://dbpedia.org/resource/MIT_Press,ORG
40355,Slide,5,numpy,http://dbpedia.org/resource/NumPy,NORP
40355,Slide,5,Louis Pasteur,http://dbpedia.org/resource/Louis_Pasteur,PERSON
40355,Slide,5,Google,http://dbpedia.org/resource/Google,ORG
40355,Slide,5,Google News,http://dbpedia.org/resource/Google_News,ORG
40355,Slide,5,Harry Potter,http://dbpedia.org/resource/Harry_Potter,PERSON
40355,Slide,5,skip-gram,http://dbpedia.org/resource/N-gram,QUANTITY
40355,Slide,5,Monet,http://dbpedia.org/resource/Claude_Monet,ORG
40355,Slide,5,Berlin,http://dbpedia.org/resource/Berlin,GPE
40355,Slide,5,Pros & Cons,http://dbpedia.org/resource/Pros_&_Cons,ORG
40355,Slide,5,New York,http://dbpedia.org/resource/New_York_City,GPE
40355,Slide,5,PCA,http://dbpedia.org/resource/Principal_component_analysis,ORG
40355,Slide,5,Cole Howard,http://dbpedia.org/resource/Cole_Howard,PERSON
40355,Slide,5,CNN,http://dbpedia.org/resource/Convolutional_neural_network,ORG
40355,Slide,5,DL,http://dbpedia.org/resource/X86,ORG
40355,Slide,5,kernel,http://dbpedia.org/resource/Kernel_method,PERSON
40355,Slide,5,Overfitting,http://dbpedia.org/resource/Overfitting,ORG
40355,Slide,5,IMDB,http://dbpedia.org/resource/IMDb,ORG
40355,Slide,5,Jeremy Brett,http://dbpedia.org/resource/Jeremy_Brett,PERSON
40355,Slide,5,David Foster,http://dbpedia.org/resource/David_Foster,PERSON
40355,Slide,5,Lennon,http://dbpedia.org/resource/John_Lennon,ORG
40355,Slide,5,GraphIQ,http://dbpedia.org/resource/Graphiq,ORG
40355,Slide,5,Wikipedia,http://dbpedia.org/resource/Wikipedia,ORG
40355,Slide,5,WWW,http://dbpedia.org/resource/World_Wide_Web,ORG
40355,Slide,5,YouTube,http://dbpedia.org/resource/YouTube,ORG
40355,Slide,5,Winograd,http://dbpedia.org/resource/Terry_Winograd,GPE
40355,Slide,5,Rumelhart,http://dbpedia.org/resource/David_Rumelhart,PERSON
40355,Slide,5,OWL,http://dbpedia.org/resource/Web_Ontology_Language,ORG
40355,Slide,5,SKOS,http://dbpedia.org/resource/Simple_Knowledge_Organization_System,ORG
40355,Slide,5,Knowledge Navigator,http://dbpedia.org/resource/Knowledge_Navigator,WORK_OF_ART
40355,Slide,5,Semantic Networks,http://dbpedia.org/resource/Semantic_network,ORG
40355,Slide,5,Description Logic,http://dbpedia.org/resource/Description_logic,PERSON
40355,Slide,5,Oracle Spatial,http://dbpedia.org/resource/Oracle_Spatial_and_Graph,ORG
40355,Slide,5,Wikidata,http://dbpedia.org/resource/Wikidata,ORG
40355,Slide,5,YAGO,http://dbpedia.org/resource/YAGO_(database),ORG
40355,Slide,5,IRI,http://dbpedia.org/resource/Internationalized_Resource_Identifier,ORG
40355,Slide,5,Java,http://dbpedia.org/resource/Java_virtual_machine,GPE
40355,Slide,5,PHP,http://dbpedia.org/resource/PHP,ORG
40355,Slide,5,The Glass Palace,http://dbpedia.org/resource/The_Glass_Palace,WORK_OF_ART
40355,Slide,5,Harper Collins,http://dbpedia.org/resource/HarperCollins,PERSON
40355,Slide,5,London,http://dbpedia.org/resource/London,GPE
40355,Slide,5,WordNet,http://dbpedia.org/resource/WordNet,ORG
40355,Slide,5,GeoNames,http://dbpedia.org/resource/GeoNames,ORG
40355,Slide,5,Julia,http://dbpedia.org/resource/Julia_the_Elder,GPE
40355,Slide,5,Liverpool,http://dbpedia.org/resource/Liverpool,GPE
40355,Slide,5,Alfred Lennon,http://dbpedia.org/resource/Alfred_Lennon,PERSON
40355,Slide,5,Stuart Russell,http://dbpedia.org/resource/Stuart_J._Russell,PERSON
40355,Slide,5,Peter Norvig,http://dbpedia.org/resource/Peter_Norvig,PERSON
40355,Slide,5,Prentice Hall,http://dbpedia.org/resource/Prentice_Hall,PERSON
40355,Slide,5,RDF Triple,http://dbpedia.org/resource/Semantic_triple,ORG
40355,Slide,5,Json,http://dbpedia.org/resource/JSON,PERSON
40355,Slide,5,Unicode,http://dbpedia.org/resource/Unicode,GPE
40355,Slide,5,Flickr,http://dbpedia.org/resource/Flickr,PERSON
40355,Slide,5,Congress,http://dbpedia.org/resource/United_States_Congress,ORG
40355,Slide,5,TBL,http://dbpedia.org/resource/Basketball_Super_League,ORG
40355,Slide,5,TED,http://dbpedia.org/resource/MOS_Technology_TED,ORG
40355,Slide,5,The Next Web,http://dbpedia.org/resource/The_Next_Web,WORK_OF_ART
40355,Slide,5,vvv,http://dbpedia.org/resource/VVV-Venlo,PRODUCT
40355,Slide,5,thesauri,http://dbpedia.org/resource/Thesaurus,ORG
40355,Slide,5,LOC,http://dbpedia.org/resource/Library_of_Congress,ORG
40355,Slide,5,ISO,http://dbpedia.org/resource/International_Organization_for_Standardization,ORG
40355,Slide,5,The Artist,http://dbpedia.org/resource/The_Artist_and_Journal_of_Home_Culture,WORK_OF_ART
40355,Slide,5,David Wood,http://dbpedia.org/resource/Straitjacket_Fits,PERSON
40355,Slide,6,Recommender Systems,http://dbpedia.org/resource/Recommender_system,PERSON
40355,Slide,6,Concordia University,http://dbpedia.org/resource/Main_Page,ORG
40355,Slide,6,Steve Jobs,http://dbpedia.org/resource/Steve_Jobs,PERSON
40355,Slide,6,English,http://dbpedia.org/resource/English_language,LANGUAGE
40355,Slide,6,French,http://dbpedia.org/resource/French_language,LANGUAGE
40355,Slide,6,UIMA,http://dbpedia.org/resource/UIMA,ORG
40355,Slide,6,GATE,http://dbpedia.org/resource/General_Architecture_for_Text_Engineering,ORG
40355,Slide,6,Refinitiv,http://dbpedia.org/resource/Refinitiv,ORG
40355,Slide,6,Machine Learning,http://dbpedia.org/resource/Machine_learning,PERSON
40355,Slide,6,IBM,http://dbpedia.org/resource/IBM,ORG
40355,Slide,6,LOD,http://dbpedia.org/resource/Genetic_linkage,ORG
40355,Slide,6,RDF,http://dbpedia.org/resource/Resource_Description_Framework,ORG
40355,Slide,6,Mona Lisa,http://dbpedia.org/resource/Mona_Lisa,WORK_OF_ART
40355,Slide,6,DBpedia,http://dbpedia.org/resource/DBpedia,ORG
40355,Slide,6,Layer Cake,http://dbpedia.org/resource/Layer_cake,WORK_OF_ART
40355,Slide,6,SPARQL,http://dbpedia.org/resource/SPARQL,ORG
40355,Slide,6,FOAF,http://dbpedia.org/resource/FOAF_(ontology),ORG
40355,Slide,6,Dublin Core,http://dbpedia.org/resource/Dublin_Core,PERSON
40355,Slide,6,Deep Learning,http://dbpedia.org/resource/Deep_learning,PERSON
40355,Slide,6,Apple Siri,http://dbpedia.org/resource/Siri,PERSON
40355,Slide,6,Amazon Alexa,http://dbpedia.org/resource/Amazon_Alexa,ORG
40355,Slide,6,Microsoft Tay,http://dbpedia.org/resource/Tay_(bot),PERSON
40355,Slide,6,Microsoft,http://dbpedia.org/resource/Microsoft,ORG
40355,Slide,6,Gartner,http://dbpedia.org/resource/Gartner,ORG
40355,Slide,6,Perceptron,http://dbpedia.org/resource/Perceptron,ORG
40355,Slide,6,Keras,http://dbpedia.org/resource/Keras,ORG
40355,Slide,6,Word Vectors,http://dbpedia.org/resource/Word_embedding,ORG
40355,Slide,6,Japan,http://dbpedia.org/resource/Japan,GPE
40355,Slide,6,Sushi,http://dbpedia.org/resource/Sushi,GPE
40355,Slide,6,Germany,http://dbpedia.org/resource/Germany,GPE
40355,Slide,6,XOR,http://dbpedia.org/resource/Exclusive_or,ORG
40355,Slide,6,MIT Press,http://dbpedia.org/resource/MIT_Press,ORG
40355,Slide,6,numpy,http://dbpedia.org/resource/NumPy,NORP
40355,Slide,6,Louis Pasteur,http://dbpedia.org/resource/Louis_Pasteur,PERSON
40355,Slide,6,Google,http://dbpedia.org/resource/Google,ORG
40355,Slide,6,Google News,http://dbpedia.org/resource/Google_News,ORG
40355,Slide,6,Harry Potter,http://dbpedia.org/resource/Harry_Potter,PERSON
40355,Slide,6,skip-gram,http://dbpedia.org/resource/N-gram,QUANTITY
40355,Slide,6,Monet,http://dbpedia.org/resource/Claude_Monet,ORG
40355,Slide,6,Berlin,http://dbpedia.org/resource/Berlin,GPE
40355,Slide,6,Pros & Cons,http://dbpedia.org/resource/Pros_&_Cons,ORG
40355,Slide,6,New York,http://dbpedia.org/resource/New_York_City,GPE
40355,Slide,6,PCA,http://dbpedia.org/resource/Principal_component_analysis,ORG
40355,Slide,6,Cole Howard,http://dbpedia.org/resource/Cole_Howard,PERSON
40355,Slide,6,CNN,http://dbpedia.org/resource/Convolutional_neural_network,ORG
40355,Slide,6,DL,http://dbpedia.org/resource/Injured_list,ORG
40355,Slide,6,kernel,http://dbpedia.org/resource/Kernel_method,PERSON
40355,Slide,6,Overfitting,http://dbpedia.org/resource/Overfitting,ORG
40355,Slide,6,IMDB,http://dbpedia.org/resource/IMDb,ORG
40355,Slide,6,Jeremy Brett,http://dbpedia.org/resource/Jeremy_Brett,PERSON
40355,Slide,6,David Foster,http://dbpedia.org/resource/David_Foster,PERSON
40355,Slide,6,Lennon,http://dbpedia.org/resource/John_Lennon,ORG
40355,Slide,6,GraphIQ,http://dbpedia.org/resource/Graphiq,ORG
40355,Slide,6,Wikipedia,http://dbpedia.org/resource/Wikipedia,ORG
40355,Slide,6,WWW,http://dbpedia.org/resource/World_Wide_Web,ORG
40355,Slide,6,YouTube,http://dbpedia.org/resource/YouTube,ORG
40355,Slide,6,Winograd,http://dbpedia.org/resource/Terry_Winograd,GPE
40355,Slide,6,Rumelhart,http://dbpedia.org/resource/David_Rumelhart,PERSON
40355,Slide,6,OWL,http://dbpedia.org/resource/Web_Ontology_Language,ORG
40355,Slide,6,SKOS,http://dbpedia.org/resource/Simple_Knowledge_Organization_System,ORG
40355,Slide,6,MAX,http://dbpedia.org/resource/MAX_Light_Rail,ORG
40355,Slide,6,Knowledge Navigator,http://dbpedia.org/resource/Knowledge_Navigator,WORK_OF_ART
40355,Slide,6,Semantic Networks,http://dbpedia.org/resource/Semantic_network,ORG
40355,Slide,6,Description Logic,http://dbpedia.org/resource/Description_logic,PERSON
40355,Slide,6,Oracle Spatial,http://dbpedia.org/resource/Oracle_Spatial_and_Graph,ORG
40355,Slide,6,Wikidata,http://dbpedia.org/resource/Wikidata,ORG
40355,Slide,6,YAGO,http://dbpedia.org/resource/YAGO_(database),ORG
40355,Slide,6,IRI,http://dbpedia.org/resource/Internationalized_Resource_Identifier,ORG
40355,Slide,6,Java,http://dbpedia.org/resource/Java_virtual_machine,GPE
40355,Slide,6,PHP,http://dbpedia.org/resource/PHP,ORG
40355,Slide,6,The Glass Palace,http://dbpedia.org/resource/The_Glass_Palace,WORK_OF_ART
